CreditCardID;CardType;CardNumber;ExpMonth;ExpYear;ModifiedDate
1;SuperiorCard;33332664695310;11;2006;2013-07-29
2;Distinguish;55552127249722;8;2005;2013-12-05
3;ColonialVoice;77778344838353;7;2005;2014-01-14
4;ColonialVoice;77774915718248;7;2006;2013-05-20
5;Vista;11114404600042;4;2005;2013-02-01
6;Distinguish;55557132036181;9;2006;2014-04-10
7;Distinguish;55553635401028;6;2007;2013-02-01
8;SuperiorCard;33336081193101;7;2007;2013-06-30
9;Distinguish;55553465625901;2;2005;2013-09-23
10;SuperiorCard;33332126386493;8;2008;2011-08-31
11;SuperiorCard;33335352517363;10;2008;2014-05-04
12;SuperiorCard;33334316194519;4;2008;2012-05-30
13;Vista;11119775847802;11;2005;2014-03-01
14;Distinguish;55553287727410;10;2006;2013-11-19
15;SuperiorCard;33336866065599;11;2008;2013-01-29
16;Vista;11111985451507;8;2006;2013-12-30
17;ColonialVoice;77771220960729;8;2008;2014-01-16
18;ColonialVoice;77773971683137;8;2007;2011-12-29
19;ColonialVoice;77779803886862;9;2007;2014-02-04
20;SuperiorCard;33332150058339;3;2007;2013-12-17
21;SuperiorCard;33336474467548;3;2006;2013-09-11
22;ColonialVoice;77772030376004;3;2005;2013-12-24
23;Vista;11117174633569;7;2006;2012-04-15
24;Vista;11111658051128;11;2005;2013-08-21
25;Vista;11119905436490;1;2007;2013-01-19
26;Distinguish;55554195847998;11;2008;2013-08-27
27;SuperiorCard;33333837392825;12;2008;2013-11-11
28;SuperiorCard;33337040086193;12;2006;2013-07-31
29;SuperiorCard;33333594431481;2;2007;2014-04-25
30;Vista;11111281844021;6;2006;2014-01-13
31;Vista;11112040199986;10;2008;2009-01-15
32;Distinguish;55552506272209;6;2006;2014-01-21
33;SuperiorCard;33335588002748;2;2006;2012-01-25
34;Vista;11115274414475;10;2006;2013-11-25
35;SuperiorCard;33333028993903;2;2007;2012-08-05
36;Vista;11111169772836;11;2006;2013-09-03
37;Distinguish;55551349750603;7;2007;2014-03-23
38;Distinguish;55555420711099;7;2008;2013-09-24
39;Vista;11117546738833;5;2005;2013-09-13
40;Distinguish;55555841603354;4;2008;2013-08-25
41;Vista;11113757706549;7;2008;2014-03-22
42;Distinguish;55555053963314;3;2005;2013-07-01
43;SuperiorCard;33332773200339;3;2006;2013-09-03
44;ColonialVoice;77779171924785;6;2007;2013-10-10
45;Distinguish;55551983685258;4;2006;2014-04-28
46;SuperiorCard;33331306076760;12;2005;2013-12-07
47;Distinguish;55551566702747;3;2008;2013-06-07
48;SuperiorCard;33338676321482;3;2008;2014-05-21
49;SuperiorCard;33337796706807;6;2008;2013-07-09
50;ColonialVoice;77776755686502;5;2007;2014-06-15
51;SuperiorCard;33337051999262;3;2007;2014-03-07
52;Vista;11113124378865;3;2008;2013-04-23
53;ColonialVoice;77772212684661;5;2006;2014-04-04
54;Distinguish;55553252134216;12;2006;2013-09-04
55;ColonialVoice;77776585377718;5;2008;2013-07-31
56;Distinguish;55551526073305;7;2007;2014-03-16
57;ColonialVoice;77775318833306;10;2008;2013-12-23
58;Vista;11117610506869;12;2008;2014-02-07
59;Vista;11116857559490;9;2006;2013-06-30
60;Vista;11111063290504;1;2008;2012-06-14
61;Distinguish;55553521953614;4;2008;2014-05-15
62;SuperiorCard;33336076362820;1;2005;2014-04-01
63;Distinguish;55552834411554;4;2008;2013-12-06
64;ColonialVoice;77776280624762;2;2005;2013-10-13
65;Distinguish;55556135765472;4;2005;2013-10-13
66;ColonialVoice;77774204284216;8;2005;2010-01-29
67;SuperiorCard;33335516443528;12;2005;2013-10-27
68;SuperiorCard;33337185413753;3;2005;2013-02-06
69;ColonialVoice;77773035177913;6;2005;2012-05-17
70;Distinguish;55556217280260;3;2008;2014-02-07
71;Vista;11116167886495;7;2005;2013-10-13
72;Distinguish;55557166092204;7;2005;2013-08-13
73;Vista;11111097285749;1;2008;2013-11-23
74;Vista;11111875326223;11;2007;2014-06-26
75;SuperiorCard;33339024575831;11;2008;2013-09-22
76;SuperiorCard;33337723858818;5;2008;2011-05-31
77;Distinguish;55552491484622;8;2008;2009-02-24
78;SuperiorCard;33335304638114;8;2008;2014-01-25
79;Vista;11118018211102;7;2006;2012-06-17
80;ColonialVoice;77772340294400;11;2008;2013-11-19
81;Distinguish;55557892934839;6;2007;2012-11-17
82;Distinguish;55552580794715;11;2006;2012-05-30
83;Vista;11118036755505;4;2008;2013-10-29
84;Distinguish;55556891733409;1;2006;2014-03-29
85;ColonialVoice;77775989712942;4;2006;2014-05-27
86;SuperiorCard;33336703497121;1;2006;2013-08-26
87;Vista;11115536966870;8;2007;2012-03-03
88;Distinguish;55559505872957;1;2006;2014-04-20
89;SuperiorCard;33332972701054;4;2007;2013-04-18
90;Distinguish;55554129226031;11;2007;2013-07-13
91;SuperiorCard;33334379129505;1;2006;2013-07-30
92;SuperiorCard;33334394499932;10;2006;2014-02-11
93;Vista;11117160559398;2;2005;2013-09-25
94;Distinguish;55553576381881;5;2005;2014-03-06
95;Distinguish;55551358663947;5;2007;2014-03-06
96;SuperiorCard;33337600423179;4;2007;2014-01-17
97;ColonialVoice;77778908268190;12;2007;2014-05-02
98;SuperiorCard;33334689130342;9;2006;2011-12-06
99;Vista;11119575282326;12;2006;2013-08-28
100;ColonialVoice;77775942872654;9;2007;2014-04-05
101;ColonialVoice;77771155924577;12;2006;2012-06-29
102;ColonialVoice;77777905530572;12;2008;2013-12-05
103;Vista;11113359002897;10;2007;2011-06-21
104;ColonialVoice;77772996189531;11;2005;2013-07-12
105;Distinguish;55558305945748;4;2008;2014-01-07
106;SuperiorCard;33331614606503;10;2008;2013-06-30
107;ColonialVoice;77771467512075;12;2006;2014-06-18
108;Vista;11114226806511;4;2006;2014-05-23
109;Vista;11115965551854;8;2007;2014-05-31
110;Distinguish;55556494862795;12;2006;2013-08-07
111;SuperiorCard;33339067552676;4;2006;2013-11-14
112;Vista;11118290057240;3;2007;2014-05-12
113;Vista;11117863519103;2;2005;2012-07-21
114;SuperiorCard;33338624829973;8;2006;2013-08-18
115;Distinguish;55557331288433;1;2005;2013-08-28
116;Distinguish;55551539904121;5;2006;2014-02-28
117;ColonialVoice;77778258299726;8;2005;2013-11-30
118;Distinguish;55551810976353;10;2007;2013-09-02
119;Distinguish;55551090366683;1;2006;2009-02-06
120;Distinguish;55554797685048;1;2006;2013-05-27
121;Distinguish;55556497893044;8;2005;2014-05-05
122;ColonialVoice;77775805844194;9;2007;2014-06-11
123;Distinguish;55552551439953;8;2007;2013-09-02
124;ColonialVoice;77772054172195;12;2007;2013-09-19
125;ColonialVoice;77774261153866;6;2006;2014-05-01
126;SuperiorCard;33335620908839;11;2005;2013-07-31
127;ColonialVoice;77778668677894;4;2008;2012-09-12
128;Distinguish;55554615582353;8;2006;2014-05-25
129;Distinguish;55555625235288;12;2005;2013-10-17
130;Vista;11117013974027;7;2005;2013-08-06
131;SuperiorCard;33333327723729;6;2008;2012-02-25
132;SuperiorCard;33332924248632;1;2008;2014-06-01
133;Distinguish;55551500034619;8;2006;2013-07-29
134;ColonialVoice;77779074972626;8;2006;2014-01-03
135;ColonialVoice;77773476995492;4;2006;2014-03-04
136;Distinguish;55553177744050;9;2008;2013-02-05
137;Distinguish;55558265626436;12;2006;2013-04-30
138;Distinguish;55553993498931;7;2005;2013-09-28
139;SuperiorCard;33333046058215;6;2007;2013-11-03
140;SuperiorCard;33332539446148;1;2005;2013-06-23
141;Distinguish;55553385255792;8;2007;2013-08-17
142;Distinguish;55554148938512;6;2006;2014-04-08
143;SuperiorCard;33338956772123;5;2005;2012-11-03
144;Distinguish;55552263625446;3;2007;2014-01-18
145;ColonialVoice;77771579806358;1;2007;2013-10-27
146;SuperiorCard;33331510913646;1;2006;2014-01-18
147;SuperiorCard;33335009967295;1;2007;2013-10-03
148;SuperiorCard;33336376132542;8;2006;2013-02-16
149;ColonialVoice;77777697898447;11;2006;2012-08-07
150;Vista;11113974751980;12;2006;2013-06-29
151;SuperiorCard;33331897508563;12;2007;2012-04-21
